Dog_Name,Dog_Breed,Neighborhood
Benton,Boxer American Bldog,North Cambridge
Benyo,Spaniel,Wellington-Harrington
Benzo,Dachshund,North Cambridge
Benzoe,Dachshund,North Cambridge
Bergthor,Mastiff,Agassiz
Berkeley,Golden Doodle,West Cambridge
Berkeley,Black Labrador Mix,West Cambridge
Berkeley,Golden Retriever,Agassiz
Bernadette,Terrier,West Cambridge
Bernadette,Airedale,Neighborhood Nine
Bernie,LABRADOODLE,The Port
Bernie,Labrador Retriever,Neighborhood Nine
Bernie Mcdonough,Labrador Retriever Mix,Wellington-Harrington
Berry,Lhasa Apso,Neighborhood Nine
Bert,Cairn Terrier,Neighborhood Nine
Bertie,Bichon Frise,Neighborhood Nine
Beskow,Basenji,North Cambridge
Bess,Brittany Spaniel,Mid-Cambridge
Bessie,BEAGLE,East Cambridge
Bessie,Cockapoo,West Cambridge
Betsy,Affenpinscher,Neighborhood Nine
Betty,Bichon Frise,Cambridgeport
Betty,Labrador Retriever Mix,The Port
Betty,Cockapoo Mix,Neighborhood Nine
Betty,Beagle Mix,North Cambridge
Betty White-Paws (Betty),Austrailian Labradoodle,Neighborhood Nine
Bhindy,Border Collie,West Cambridge
Bianca,,West Cambridge
Bib,Cockerpoo,Agassiz
Biba,Shih Tzu,Agassiz
Biddie,Pomeranian,Mid-Cambridge
Biggie,Pug,Mid-Cambridge
Bigsby,Miniature Poodle,Cambridgeport
Bijou,Terrier,North Cambridge
Biko,Vizsla,Area 2/MIT
Bill,Ret,Cambridgeport
Billie,Red Tick Coon Hound,Wellington-Harrington
Billie,Australian Cattle Dog,Neighborhood Nine
Bindi,Spaniel Mix,West Cambridge
Bingo,Jack Russell Terrier Mix,North Cambridge
Bingo,Chihuahua,The Port
Bingo,Chihuahua,Wellington-Harrington
Bingo Lindauer-Cohen,Golden Retriever,West Cambridge
Bion,Wheaton Terrier,West Cambridge
Birdie,,East Cambridge
Birdie,Lab Retriever,West Cambridge
Birdie,Mix,West Cambridge
Birdie,Terrier Mix,East Cambridge
Birdie,Labrador Retriever Mix,Mid-Cambridge
Birdie,Labrador Retriever,West Cambridge
Biscuit,Yorksire Terrier,Mid-Cambridge
Biscuit,Terrier,North Cambridge
Biscuit,Yorkie,Mid-Cambridge
Biscuit Grape Juice,"Coonhound ,Tree Walker",Agassiz
Bise,German Shorthair Pointer,Strawberry Hill
Bishop,Standard Poodle,Cambridgeport
Bisou,Standard Poodle,West Cambridge
Bitsy,Chihuahua,North Cambridge
Bixby,Cockerpoo,West Cambridge
Bj,Terrier,Cambridge Highlands
Blackberry,Toy Poddle,North Cambridge
Blackie,Shih Tzu,Cambridgeport
Blackie,Cockerpoo,West Cambridge
Blackjack,Cockerpoo,Neighborhood Nine
Blake,Labrador Retriever,North Cambridge
Blanca,Chihuahua Sh Mix,East Cambridge
Blanco,,Strawberry Hill
Blaze,English Labrador Retriever,West Cambridge
Blaze,American Staffordshire Terrier,North Cambridge
Blaze,Labrador Retriever,West Cambridge
Blaze,Labrador Retriever,Mid-Cambridge
Blitz,Portuguese Water Dog,Agassiz
Blonkie,Bolonka,West Cambridge
Blu,Italian Mastiff,North Cambridge
Blu,Cocker Spaniel,Cambridgeport
Blu,Italian Mastiff,North Cambridge
Blue,Hound Mix,North Cambridge
Blue,Labrador Retriever,Cambridge Highlands
Blue,Hound Cross Mix,West Cambridge
Blue,Mutt,East Cambridge
Blue,Pitbull,The Port
Bo,Labrador Retriever,North Cambridge
Bo,Terrier,Agassiz
Bob,Italian Greyhould,Mid-Cambridge
Bob,,West Cambridge
Bob,Miniature Poodle,The Port
Boba,American Bulldog,North Cambridge
Bobbie,Dachshund,East Cambridge
Bobo,Pug,West Cambridge
Bobo,Chihuahua,Cambridgeport
Bobo,Pomeranian Mix,Cambridgeport
Bode,Boston Terrier Mix,East Cambridge
Bodhi,Yorkshire Terrier,Neighborhood Nine
Bodi,Vizsla,West Cambridge
Bodie,Leonberger,Cambridgeport
Bodie,Vizsla,Mid-Cambridge
Bodie,Vizsla,Riverside
Bodie,Husky,West Cambridge
Bodie,Goldendoodle,Neighborhood Nine
Bodo,Rat Terrier,Strawberry Hill
Bogart,Bernese Mountain Dog,West Cambridge
Bogey,Australian Shepherd,The Port
Bogie,Field Spaniel,North Cambridge
Bohdi,Portuguese Water Dog,West Cambridge
Bohdi,Great Swiss Mountain Dog,Mid-Cambridge
Bolt,Basenji,Cambridgeport
Bomi,Great Pyrenese,West Cambridge
Bondi,German Shepherd,East Cambridge
Bone,Jack Russel Terrier,West Cambridge
Bonita,Labrador Retriever,North Cambridge
Bonnie,Chihuahua,North Cambridge
Bonnie,Cockerpoo,North Cambridge
Bonnie,Miniature Pinscher,West Cambridge
Bonnie,Miniature Dachshund,Cambridge Highlands
Bonnie Killeen,Labrador Ter Mix,North Cambridge
Bono,Cockerpoo,North Cambridge
Bonus,LABRADOR Retriever,West Cambridge
Bonzai,Aust Shep,East Cambridge
Bonzai,Australian Shepherd,North Cambridge
Boo,Labrador Retriever,Neighborhood Nine
Boo,Shih Tzu,North Cambridge
Boo,Terrier Mix,Agassiz
Boo,Border Collie,The Port
Boo,English Cocker,NA
Boo,Cavalier King Charles/Mix,Cambridgeport
Boo,Beagle,Riverside
Booboo,Pug,West Cambridge
Boo Boo,Mix,North Cambridge
Boof,Pit Bull,Wellington-Harrington
Boomer,Labradoddle,West Cambridge
Boomer,Labrador Retriever,The Port
Boomer,Labrador Beagle Mix,Wellington-Harrington
Boomie,Chihuahua,Neighborhood Nine
Boone,Golden Doodle,Cambridgeport
Boots,Shih Tzu,Neighborhood Nine
Boots,Yorksire Terrier,The Port
Boots,Labrador Retriever,Mid-Cambridge
Bootsy,French Bulldog,East Cambridge
Bosco,Mix,Mid-Cambridge
Bosco,Greyhound,West Cambridge
Bosco,Labrador Retriever,North Cambridge
Bosco,Labrador Retriever,North Cambridge
Bosley,Minature Australian Shepherd,West Cambridge
Boss,Bullmastiff,Cambridgeport
Boss Dog,Schipperkee,Mid-Cambridge
Boston,Pitbull,East Cambridge
Boston,Boston Terrier,The Port
Boswell,Cocker Spaniel,West Cambridge
Boudica,Airedale,Neighborhood Nine
Bouncer,Shih Tzu,Wellington-Harrington
Bow,Poodle,North Cambridge
Bowie,Vizsla,North Cambridge
Bowie,Golden Retriever,West Cambridge
Bowie,Boston Teerrier,Mid-Cambridge
Bowie,Dachshund,West Cambridge
Bowser,Mix,East Cambridge
Box,Collie Mix,North Cambridge
Boysie,Beagle,Cambridgeport
Bracket,Labrador Retriever Mix,Riverside
Bradley,Heeler Border Collie Mix,North Cambridge
Bradley,Golden Retriever,Cambridgeport
Brady,Beagle,Wellington-Harrington
Brady,Shar Pei,Neighborhood Nine
Brady,Pomeranian & Shih Tzu Mix,North Cambridge
Brady,Maltese Mix,Neighborhood Nine
Brady,Beagle,North Cambridge
Brady,,Riverside
Brady,Poodle,West Cambridge
Brady,Pit Bull,Strawberry Hill
Brandy,Dachshund,Wellington-Harrington
Bravos,Pitbull Mix,Wellington-Harrington
Bree,American Pit Bull Terrier,North Cambridge
Brenda,Brussels Griffon,North Cambridge
Brenda Emmons-Melgar,Brussel Griffon,North Cambridge
Brenna,Labrador Retriever,Cambridgeport
Brewster,Pointer,Agassiz
Brewster,Corgi/Sheltie Mix,North Cambridge
Bridge,Plott Hound,Neighborhood Nine
Bridger,German Wirehaired Pointer,North Cambridge
Bridget,Chihuahua,Agassiz
Bridget,English Shepherd,East Cambridge
Brillo,Dachshund,Riverside
Bristol,Labrador Retriever,Neighborhood Nine
Brody,Wheaton Terrier,North Cambridge
Brody,LEONBERGER,Cambridgeport
Brody,Terrier,Wellington-Harrington
Brody,Poodle,Mid-Cambridge
Broja,Labrador Retriever Mix,Neighborhood Nine
Bronson,Keeshond Mix,Cambridge Highlands
Bronson,LABRADOR Retriever,East Cambridge
Bronx,Labrador Retriever Mix,West Cambridge
Brooklyn,Boxer,Agassiz
Brou,Cairn Terr,Riverside
Brown Boy,,West Cambridge
Brownie,English Spaniel Springer,East Cambridge
Brownie,German Shepherd Mix,Cambridgeport
Brownie,Labrador Retriever,North Cambridge
Bruce,Yorksire Terrier,Riverside
Bruce,Corgi,Area 2/MIT
Bruce,Chihuahua,West Cambridge
Bruce,Bull Terrier,Cambridgeport
Bruin,Australian Shepherd,Cambridge Highlands
Bruiser,Pit Bull,East Cambridge
Brumby,Jack Russ. Terr.,Neighborhood Nine
Bruno,Australian Shepherd,East Cambridge
Bruno,,Wellington-Harrington
Bruno,Dalmation,Cambridge Highlands
Bruno,German Shepherd,The Port
Bruno,,North Cambridge
Bru Schellhorn,Rhodesian Ridgeback Mix,Cambridgeport
Bruto,Cane Corso,North Cambridge
Brutus,Rhodesian Ridgeback,Mid-Cambridge
Brutus,Rat Terr,Cambridgeport
Bubak,Cavapoo,East Cambridge
Bubba,Old English Bulldog,Wellington-Harrington
Bubba Arthur,Yorkshire Terrier / Shih Tzu,Neighborhood Nine
Bubbles,Pug,North Cambridge
Bubbles,Yorksire Terrier,The Port
Buca,Yorkshire Terrier,East Cambridge
Buca,Yorksire Terrier,East Cambridge
Buck,Weimaramer,Agassiz
Buckle,Portuguese Water Dog,West Cambridge
Buckley,Labrador Retriever,Cambridgeport
Bucky,Poodle (Standard),West Cambridge
Bucya,Yorkshire Terrier,East Cambridge
Buda,Vizsla,The Port
