Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Arlo,Spanish Water Dog,"(42.36226932, -71.10928659)",42.36226932,-71.10928659,Cambridgeport
Arly,Shetland Sheepdog,"(42.37428021, -71.12515786)",42.37428021,-71.12515786,West Cambridge
Armstrong,Chihuahua,"(42.37291422, -71.07869296)",42.37291422,-71.07869296,East Cambridge
Arrow,Poodle,"(42.36088137, -71.11244695)",42.36088137,-71.11244695,Cambridgeport
Arthur,Belgian Mix,"(42.38240797, -71.12725109)",42.38240797,-71.12725109,Neighborhood Nine
Artimiss,Maltese Mix,"(42.361634, -71.10499964)",42.361634,-71.10499964,Cambridgeport
Arwen,English Setter,"(42.35606044, -71.1111302)",42.35606044,-71.1111302,Cambridgeport
Arya,Poodle,"(42.39737665, -71.13315849)",42.39737665,-71.13315849,North Cambridge
Arya,Shepherd Mix,"(42.38956963, -71.1481432)",42.38956963,-71.1481432,Cambridge Highlands
Arya,Samoyed,"(42.36158199, -71.10750009)",42.36158199,-71.10750009,Cambridgeport
Arya,Border Collie,"(42.39249946, -71.14550587)",42.39249946,-71.14550587,Cambridge Highlands
Arya,Labrador Retriever,"(42.36438876, -71.10482733)",42.36438876,-71.10482733,Cambridgeport
Aser,Labrador Retriever,"(42.39261961, -71.1455781)",42.39261961,-71.1455781,Cambridge Highlands
Ash,Golden Retriever,"(42.38627829, -71.13098575)",42.38627829,-71.13098575,Neighborhood Nine
Asoka,Chihuahua,"(42.37176754, -71.0942675)",42.37176754,-71.0942675,Wellington-Harrington
Asterix,Mi-Ki,"(42.37395266, -71.12212571)",42.37395266,-71.12212571,West Cambridge
Astrid,Saluki,"(42.3703489, -71.10158007)",42.3703489,-71.10158007,Mid-Cambridge
Astro,Chiuahua Mix,"(42.3900299, -71.12882024)",42.3900299,-71.12882024,Neighborhood Nine
Astro,Australian Terrier,"(42.3857239, -71.13736876)",42.3857239,-71.13736876,Neighborhood Nine
Astro Kozberg,Maltese,"(42.36128498, -71.10175329)",42.36128498,-71.10175329,Cambridgeport
Athena,Maltipoo,"(42.38365026, -71.12693409)",42.38365026,-71.12693409,Neighborhood Nine
Athena,Shep,"(42.36608303, -71.09350442)",42.36608303,-71.09350442,The Port
Athena,Pug,"(42.36983966, -71.12107483)",42.36983966,-71.12107483,Riverside
Athena,Vizsla,"(42.39103163, -71.13166813)",42.39103163,-71.13166813,North Cambridge
Athena Wozniak,Labrador Retriever,"(42.38308257, -71.13422924)",42.38308257,-71.13422924,West Cambridge
Atlas,Cavalier King Charles Spaniel,"(42.35567381, -71.09615435)",42.35567381,-71.09615435,Area 2/MIT
Atlas,Chihuahua,"(42.39288031, -71.1466583)",42.39288031,-71.1466583,Cambridge Highlands
Atlas,Great Dane,"(42.37347161, -71.08979945)",42.37347161,-71.08979945,Wellington-Harrington
Atom,Terrier Mix,"(42.39493035, -71.14314685)",42.39493035,-71.14314685,North Cambridge
Atom,Terrier Mix,"(42.39449497, -71.14320044)",42.39449497,-71.14320044,North Cambridge
Atom,Miniature Schnauzer,"(42.38007678, -71.11937984)",42.38007678,-71.11937984,Neighborhood Nine
Atticus,Miniature Goldendoodle,"(42.3797619, -71.12086202)",42.3797619,-71.12086202,Neighborhood Nine
Aube,Portuguese Water Dog,"(42.38994198, -71.1260253)",42.38994198,-71.1260253,Neighborhood Nine
Aubergine,Coonhound Mix,"(42.39868717, -71.13848934)",42.39868717,-71.13848934,North Cambridge
Audrey,Border Collie,"(42.39324727, -71.13859425)",42.39324727,-71.13859425,North Cambridge
Auggie,Wheaton Terrier,"(42.36127233, -71.10995681)",42.36127233,-71.10995681,Cambridgeport
Augie,Labrador Retriever Mix,"(42.38080212, -71.12950265)",42.38080212,-71.12950265,West Cambridge
Augustus,Bichon Frise,"(42.38038495, -71.11685026)",42.38038495,-71.11685026,Agassiz
Au Lait,Bichon Frise,"(42.36602459, -71.11093184)",42.36602459,-71.11093184,Riverside
Auri,Shep,"(42.39258824, -71.12895258)",42.39258824,-71.12895258,North Cambridge
Auri,Whippet,"(42.36134969, -71.10402166)",42.36134969,-71.10402166,Cambridgeport
Austin,Bichon Frise,"(42.38032708, -71.12582664)",42.38032708,-71.12582664,Neighborhood Nine
Austin,Labradoddle,"(42.3878202, -71.1255223)",42.3878202,-71.1255223,Neighborhood Nine
Austin,Labradoodle,"(42.3865965, -71.12475954)",42.3865965,-71.12475954,Neighborhood Nine
Autumn,Labrador Retriever,"(42.37098282, -71.10808939)",42.37098282,-71.10808939,Mid-Cambridge
Ava,Yorkie Poo,"(42.39114068, -71.14578371)",42.39114068,-71.14578371,Cambridge Highlands
Ava Maria,Redbone Coonhound,"(42.3942617, -71.14744926)",42.3942617,-71.14744926,North Cambridge
Avett,Terrier Mix,"(42.38374045, -71.13599165)",42.38374045,-71.13599165,West Cambridge
Avie,Feist,"(42.39967486, -71.14048928)",42.39967486,-71.14048928,North Cambridge
Axel,Mountain Cur Mix,"(42.38740228, -71.12891575)",42.38740228,-71.12891575,Neighborhood Nine
Axel,,"(42.39986656, -71.15225132)",42.39986656,-71.15225132,North Cambridge
Ayanna,Pomeranian,"(42.3919515, -71.14671261)",42.3919515,-71.14671261,Cambridge Highlands
Ayla,Aussie Mix,"(42.36676723, -71.08354888)",42.36676723,-71.08354888,East Cambridge
Ayler,German Shepherd,"(42.38603394, -71.13292852)",42.38603394,-71.13292852,Neighborhood Nine
Azula,Doberman,"(42.3753862, -71.14525495)",42.3753862,-71.14525495,West Cambridge
