Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked
Bailey,Labrador Retreiver,"(42.38174353, -71.1348987)",42.38174353,-71.1348987
Bailey,Labradoddle,"(42.39088823, -71.13050723)",42.39088823,-71.13050723
Bailey,Golden Retriever,"(42.38313408, -71.12855282)",42.38313408,-71.12855282
Bailey,Hound,"(42.38562814, -71.13930216)",42.38562814,-71.13930216
Bailey,Spaniel Mix,"(42.39534232, -71.14765942)",42.39534232,-71.14765942
Bailey,Dachshund,"(42.37310845, -71.08141594)",42.37310845,-71.08141594
Bailey,Shih Tzu,"(42.37510029, -71.15406564)",42.37510029,-71.15406564
Bailey,Terrier,"(42.35501859, -71.10752276)",42.35501859,-71.10752276
Bailey,Samoyed,"(42.37895865, -71.13311616)",42.37895865,-71.13311616
Bailey,Labrador Retriever,"(42.37164298, -71.14070302)",42.37164298,-71.14070302
Bailey,Boerboel,"(42.36874332, -71.10745867)",42.36874332,-71.10745867
Bailey,Yorksire Terrier,"(42.39813131, -71.13153221)",42.39813131,-71.13153221
Bailey,Lhasa Poo,"(42.39650611, -71.13372615)",42.39650611,-71.13372615
Bailey,Pit Bull,"(42.39300832, -71.15466387)",42.39300832,-71.15466387
Bailey,Golden Retriever,"(42.39810466, -71.13586353)",42.39810466,-71.13586353
Bailey,Cocker Spaniel,"(42.37045718, -71.10881633)",42.37045718,-71.10881633
Bailey,Labrador Retriever,"(42.35697052, -71.10559977)",42.35697052,-71.10559977
Bailey,Australian Cattle Dog Mix,"(42.3589906, -71.10731983)",42.3589906,-71.10731983
Bailey,Boston Terrier,"(42.3613308, -71.10757592)",42.3613308,-71.10757592
Bailey,Chihuahua,"(42.38853098, -71.12868626)",42.38853098,-71.12868626
Bailey,Maltese,"(42.37059314, -71.07478335)",42.37059314,-71.07478335
Bailey,Golden Retriever,"(42.3927397, -71.12162065)",42.3927397,-71.12162065
Bailey Hogan,Hound,"(42.37098842, -71.10932297)",42.37098842,-71.10932297
Baldwin,Treeing Walker Coonhound,"(42.35860348, -71.10696647)",42.35860348,-71.10696647
Baloo,LABRADOODLE,"(42.367505, -71.08273605)",42.367505,-71.08273605
Baloo,Labrador Retriever,"(42.40033163, -71.15149549)",42.40033163,-71.15149549
Balou,Border Collie,"(42.3698759, -71.0875994)",42.3698759,-71.0875994
Baltas,West Highland White Terrier,"(42.35922744, -71.10781206)",42.35922744,-71.10781206
Baltie,Goldendoodle,"(42.38541405, -71.12259434)",42.38541405,-71.12259434
Bama,Shih Tzu,"(42.36368539, -71.11343192)",42.36368539,-71.11343192
Bambi,Chihuahua,"(42.36508624, -71.0936914)",42.36508624,-71.0936914
Bambu,Boston Terrier,"(42.36813467, -71.08955244)",42.36813467,-71.08955244
Bandit,Pit Bull,"(42.36875757, -71.08184088)",42.36875757,-71.08184088
Bandit,Mountain Cur Mix,"(42.37298988, -71.08215079)",42.37298988,-71.08215079
Bandit,PAPILLON,"(42.39283822, -71.12546508)",42.39283822,-71.12546508
Bandit,Chihuahua,"(42.39166538, -71.14542775)",42.39166538,-71.14542775
Bandit,Australian Shep Mix,"(42.39972367, -71.13784002)",42.39972367,-71.13784002
Bandit,Golden Retriever,"(42.35852043, -71.10933896)",42.35852043,-71.10933896
Banjo,Cockerpoo,"(42.37060415, -71.10997302)",42.37060415,-71.10997302
Banjo,Shih Tzu,"(42.3836049, -71.13626905)",42.3836049,-71.13626905
Banjo,Chihuahua Mix,"(42.39522208, -71.13019087)",42.39522208,-71.13019087
Banjo,Miniature Australian Shepherd,"(42.36258481, -71.10760343)",42.36258481,-71.10760343
Banjo,Min Australian Shepherd,"(42.36390992, -71.10816812)",42.36390992,-71.10816812
Banjo,Mini Aussie Shepherd,"(42.36442925, -71.10758626)",42.36442925,-71.10758626
Banks,Labrador Retreiver,"(42.37510978, -71.1014486)",42.37510978,-71.1014486
Banni,Terrier,"(42.37533624, -71.15203719)",42.37533624,-71.15203719
Barcley,Chihuahua Mix,"(42.38064231, -71.1429261)",42.38064231,-71.1429261
Bard,German Shepard Mix,"(42.3864363, -71.13078483)",42.3864363,-71.13078483
Barfie,Maltese,"(42.37599782, -71.14868325)",42.37599782,-71.14868325
Barkley,Long Hair Dachshund,"(42.3862, -71.12759189)",42.3862,-71.12759189
Barkley,Labrador Retriever,"(42.38558217, -71.12366221)",42.38558217,-71.12366221
Barkley,Airedale,"(42.37694304, -71.14422387)",42.37694304,-71.14422387
Barkley,American Bull Dog,"(42.36827073, -71.11205053)",42.36827073,-71.11205053
Barkley,Golden Retriever,"(42.38328485, -71.11979192)",42.38328485,-71.11979192
Barkley,Mix,"(42.37547038, -71.14655555)",42.37547038,-71.14655555
Barley,Samoyed,"(42.36594913, -71.09701705)",42.36594913,-71.09701705
Barley,Labradoodle,"(42.37701141, -71.13733984)",42.37701141,-71.13733984
Barnaby,French Bulldog,"(42.3745911, -71.10460514)",42.3745911,-71.10460514
Barnaby,Standard Poodle,"(42.39810099, -71.13591598)",42.39810099,-71.13591598
Barney,Australian Shepherd,"(42.39455839, -71.13554236)",42.39455839,-71.13554236
Barney,West Highland White Terrier,"(42.38299215, -71.13580779)",42.38299215,-71.13580779
Barney,Dachshund Mix,"(42.3996814, -71.13461809)",42.3996814,-71.13461809
Barney,Dachshund,"(42.39988406, -71.13425328)",42.39988406,-71.13425328
Barney,Golden Retriever,"(42.39016478, -71.12861935)",42.39016478,-71.12861935
Barney,Labrador Retreiver,"(42.38347412, -71.12977007)",42.38347412,-71.12977007
Barney,Terrier Mix,"(42.39971068, -71.1407734)",42.39971068,-71.1407734
Barnicle,Terrier Mix,"(42.3754115, -71.15077652)",42.3754115,-71.15077652
Barnum,Cocker Spaniel,"(42.3919565, -71.14538727)",42.3919565,-71.14538727
Bartok,Labrador Mix,"(42.35948096, -71.08396619)",42.35948096,-71.08396619
Basil,Border Collie,"(42.39394214, -71.14201101)",42.39394214,-71.14201101
Bassam,0,"(42.36442556, -71.07775277)",42.36442556,-71.07775277
Baxter,Beagle,"(42.3697984, -71.1240634)",42.3697984,-71.1240634
Baxter,Labrador Retriever Mix,"(42.39352279, -71.13088193)",42.39352279,-71.13088193
Baxter,Golden Doodle,"(42.37449604, -71.13119685)",42.37449604,-71.13119685
Baxter,Siberian Husky,"(42.35570256, -71.10876384)",42.35570256,-71.10876384
Baxter,Labrador Retreiver,"(42.39863916, -71.139743)",42.39863916,-71.139743
Baxter,Golden Doodle,"(42.38069053, -71.14405644)",42.38069053,-71.14405644
Baxter,Boxer,"(42.36662676, -71.11063929)",42.36662676,-71.11063929
Baxter,Miniature Poodle,"(42.37649924, -71.14137855)",42.37649924,-71.14137855
Baxter,HAVANESE,"(42.37196034, -71.07447845)",42.37196034,-71.07447845
Baxter,Boxer,"(42.3740976, -71.09805577)",42.3740976,-71.09805577
Baxter,Beagle,"(42.38488734, -71.13171431)",42.38488734,-71.13171431
Baxter,Labrador Retreiver,"(42.37917733, -71.1516241)",42.37917733,-71.1516241
Baxter (Bagle),Beagle,"(42.38999345, -71.14365395)",42.38999345,-71.14365395
Bay,Pit,"(42.36038158, -71.10637928)",42.36038158,-71.10637928
Baylee,Border Collie,"(42.39181241, -71.14674649)",42.39181241,-71.14674649
Baylee,Labrador Retriever Mix,"(42.38969168, -71.13837081)",42.38969168,-71.13837081
Bayles,German Shepherd,"(42.37966746, -71.14271945)",42.37966746,-71.14271945
Bayou,Catahoula,"(42.37894962, -71.12328647)",42.37894962,-71.12328647
Bazel,Keesehound,"(42.37970152, -71.1240846)",42.37970152,-71.1240846
Bea,Pug,"(42.37295459, -71.11046297)",42.37295459,-71.11046297
Beagle,Beagle,"(42.38416024, -71.12515052)",42.38416024,-71.12515052
Beale,Beagle,"(42.3861385, -71.13175036)",42.3861385,-71.13175036
Beamer,Pit Bull,"(42.35882817, -71.10717193)",42.35882817,-71.10717193
Beamer,Golden Retriever,"(42.38874519, -71.14373021)",42.38874519,-71.14373021
Beans,Lab / Shep,"(42.38013551, -71.1205035)",42.38013551,-71.1205035
Bear,Mix,"(42.38245245, -71.13737408)",42.38245245,-71.13737408
Bear,Hound,"(42.38567612, -71.1319864)",42.38567612,-71.1319864
Bear,Schnoodle,"(42.38017683, -71.12526176)",42.38017683,-71.12526176
Bear,Labrador Retriever Mix,"(42.37988158, -71.1443461)",42.37988158,-71.1443461
Bear,Yorkshier Terrier,"(42.38123917, -71.12008472)",42.38123917,-71.12008472
Bear,Labrador Retriever,"(42.37720532, -71.13280364)",42.37720532,-71.13280364
Bear,Bernese Mountain Dog,"(42.38214969, -71.11503428)",42.38214969,-71.11503428
Bear,Chihuahua,"(42.36902985, -71.10535737)",42.36902985,-71.10535737
Bear,Miniature Poodle,"(42.38466901, -71.13853131)",42.38466901,-71.13853131
Beasley,Beagle,"(42.39553822, -71.1355942)",42.39553822,-71.1355942
Beasley,Border Collie,"(42.37125433, -71.08427778)",42.37125433,-71.08427778
Beatrice,Boxer Mix,"(42.3733287, -71.07826634)",42.3733287,-71.07826634
Beatrice,Mix,"(42.37087312, -71.11014779)",42.37087312,-71.11014779
Beatrice,Golden Retriever,"(42.38540934, -71.13016289)",42.38540934,-71.13016289
Beatrix,Schnoodle,"(42.39017924, -71.14372758)",42.39017924,-71.14372758
