ID#,Name,Breed,Transaction,,
1100350,Tori                    ,Boxer Mix,12/22/2011,,
1100351,Angel                 ,Mastiff,12/27/2011,,
1100352,Cocoa                ,Labrador Retriever,12/27/2011,,
1100353,Tetra                  ,Pit Bull Mix,12/28/2011,,
1100354,Simon                ,Husky Mix,12/29/2011,,
1100355,Bella                   ,Chihuahua,11/29/2011,,
1100356,Ginger Gee Mc Clelland        ,Cairn Terrier,1/3/2012,,
1100357,Diesel                 ,Rottweiler Mix,1/4/2012,,
1100358,Sammy Gil         ,Terrier,1/6/2012,,
1100359,Alice                   ,Beagle Mix,1/9/2012,,
1100360,Candace            ,American Eskimo Dog,1/11/2012,,
1100361,Rufus                 ,Labrador Retriever,1/13/2012,,
1100362,Layla                  ,American Staffordshire Terrier,1/13/2012,,
1100363,Hailey                 ,Boxer,1/13/2012,,
1100364,Lucky Baker       ,Cockapoo,12/29/2010,,
1100365,Tuukka               ,Cane Corso,1/25/2012,,
1100366,Lizzie                 ,Labrador Mix,11/17/2011,,
1100367,Daisy                  ,Pug,1/27/2012,,
1100368,Ziggy                  ,Pit Bull Mix,1/30/2012,,
1100369,Julie                   ,Collie Mix,1/30/2012,,
1100370,Willie                  ,German Shepherd Dog,2/1/2012,,
1100371,Missy                 ,Labrador Mix,2/2/2012,,
1100372,Havocc               ,American Pit Bull Terrier,2/2/2012,,
1100373,Toby                   ,Pit Bull Mix,2/2/2012,,
1100374,Gully                  ,Labrador Mix,2/6/2012,,
1100375,Princess             ,Miniature Pinscher,7/6/2007,,
1100376,                           ,American Pit Bull Terrier,2/7/2012,,
1100377,Mocha                ,Beagle,2/8/2012,,
1100378,Cuddy                ,Pit Bull Mix,2/8/2012,,
1100379,Emmett              ,Pug,2/8/2012,,
1100380,Einstein              ,Dobermann Pinscher,2/9/2012,,
1100381,Orion                  ,American Staffordshire Terrier,4/18/2008,,
1100382,Brandi                ,Shih Tzu,2/10/2012,,
1100384,Rubin                 ,Poodle,2/14/2012,,
1100385,Chico                 ,Chihuahua,2/14/2012,,
1100386,Mojo                   ,Labrador Retriever,2/14/2012,,
1100387,Rockatelle          ,Labrador Retriever,2/14/2012,,
1100388,Pinto                  ,Chihuahua,2/15/2012,,
1100389,Chevy                ,Papillon,2/17/2012,,
1100390,Chase                ,Papillon,2/17/2012,,
1100391,Corkey               ,Griffon Bruxellois,2/21/2012,,
1100392,Pooka                ,Poodle Mix,2/21/2012,,
1100393,Brodie                ,German Shorthaired Pointer,2/21/2012,,
1100394,Maya                  ,Labrador Retriever,1/12/2011,,
1100395,Oscar                 ,Pug,2/22/2012,,
1100396,Amelia                ,German Shepherd Dog,2/22/2012,,
1100397,Freckles             ,Beagle,2/22/2012,,
1100398,Toby                   ,Saint Bernard,2/24/2012,,
1100399,Roxy                  ,Labrador Mix,2/24/2012,,
1100401,Koki                    ,Shepherd Mix,2/27/2012,,
1100402,Sophie               ,Pug,2/27/2012,,
1100403,Junior                 ,American Pit Bull Terrier,2/28/2012,,
1100404,Nellie                  ,Beagle Mix,2/29/2012,,
1100405,Fydo Aka Mr. Lips             ,Greyhound,2/29/2012,,
1100406,Bailey                 ,American Eskimo- minature,8/4/2008,,
1100407,Rocco                ,Harrier,3/2/2012,,
1100408,Bear                   ,Rottweiler,3/5/2012,,
1100411,Lady                   ,Cocker Spaniel,3/5/2012,,
1100413,Cato                   ,Hound Mix,3/7/2012,,
1100414,Prince Kash       ,Yorkshire Terrier,3/8/2012,,
1100416,Pepper               ,Great Dane,3/9/2012,,
1100417,Lucky                 ,Beagle,3/12/2012,,
1100418,Mo Mo                ,Pekingese,3/13/2012,,
1100420,Draco                 ,Akita,3/16/2012,,
1100421,Ace                    ,Pit Bull Mix,3/19/2012,,
1100422,Saddie               ,American Staffordshire Terrier,8/4/2010,,
1100423,Chicka                ,Shepherd Mix,3/19/2012,,
1100424,Max                    ,American Eskimo- minature,3/22/2012,,
1100425,Leia                    ,Boxer,3/27/2012,,
1100426,Nike                   ,Beagle,2/2/2011,,
1100427,Scar                   ,Pit Bull Mix,3/29/2012,,
1100428,Chance Killer Coles           ,Yorkshire Terrier,3/30/2012,,
1100429,Sasha                ,Labrador Mix,3/30/2012,,
1100430,Lexie                  ,Labrador Mix,3/30/2012,,
1100431,Honey Bee         ,Pomeranian,3/30/2012,,
1100432,Bully                   ,Pit Bull Mix,3/30/2012,,
1100433,Moose                ,Maltese,4/2/2012,,
1100434,Bella                   ,Boxer,4/2/2012,,
1100435,Max                    ,Boxer Mix,4/3/2012,,
1100436,Blaze                  ,Terrier Mix,4/3/2012,,
1100437,Lilly                    ,Golden Retriever,4/4/2012,,
1100438,Bonnie Lee Myers              ,Chow Mix,4/5/2012,,
1100439,Oliver                 ,Sheltie,4/6/2012,,
1100441,Duke                  ,Pit Bull Mix,4/6/2012,,
1100442,Max                    ,Miniature Schnauzer,4/6/2012,,
1100443,Oliver                 ,Australian Cattle Dog,4/9/2012,,
1100444,Gucci                 ,Chihuahua,4/10/2012,,
1100445,Daisy                  ,Jack Russell Terrier,4/10/2012,,
1100446,Annette Louise   ,Basset Hound,4/10/2012,,
1100447,Ripley                 ,Boxer Mix,8/4/2010,,
1100448,Eleanor              ,West Highland White Terrier,4/10/2012,,
1100449,Pepper               ,Shepherd Mix,4/10/2012,,
1100450,Zoey                   ,Pug,4/11/2012,,
1100452,Spirit                  ,German Shepherd Dog,8/25/2006,,
1100453,Harley                ,Shepherd Mix,4/13/2012,,
1100454,Marley Quinones           ,Husky Mix,4/13/2012,,
1100455,Roscoe              ,Rottweiler,4/13/2012,,
1100456,Bobby                ,Rottweiler,4/13/2012,,
1100457,Lucky                 ,Jack Russell Terrier,4/13/2012,,
1100458,Buster                ,Jack Russell Terrier,4/13/2012,,
1100459,Scooter              ,Beagle,4/16/2012,,
1100460,Bud                    ,Miniature Pinscher,4/18/2012,,
1100461,Bella                   ,Miniature Pinscher,4/18/2012,,
1100462,Hunter                ,Beagle,4/19/2012,,
1100463,Midnight             ,Husky Mix,4/20/2012,,
1100464,Hudson              ,Pomeranian,4/23/2012,,
1100465,Lilo                     ,Rottweiler,4/23/2012,,
1100466,Oreo                   ,Shih Tzu,4/23/2012,,
1100467,Thatcher            ,Golden Retriever,4/23/2012,,
1100468,Eve                    ,Border Collie,4/23/2012,,
1100469,Brandy               ,Pug,4/24/2012,,
1100470,Taz                     ,American Pit Bull Terrier,4/25/2012,,
1100471,Blaze                  ,American Pit Bull Terrier,4/25/2012,,
1100472,Kush                  ,American Pit Bull Terrier,4/25/2012,,
1100473,Nala                   ,American Pit Bull Terrier,4/25/2012,,
1100474,Smoke               ,Labrador Mix,4/27/2012,,
1100475,Chico                 ,Labrador Mix,4/27/2012,,
1100476,Tyson                 ,Cane Corso,4/27/2012,,
1100477,Lacy                   ,Labrador Mix,4/27/2012,,
1100478,Malika Nexus     ,Labrador Mix,4/27/2012,,
1100479,Psycho               ,American Staffordshire Terrier,4/27/2012,,
1100480,Leo                     ,Chihuahua,4/30/2012,,
